id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
98a90eec-0af9-44b3-914e-047c6afba76a,valid.marketing,available,9.99,,high,low,5,name.com,,
a3419472-f351-4eb9-a076-0a4f3bb7e063,covetous.marketing,available,,,medium,low,8,,,
43ed3d90-3b01-483d-849f-61457327e24f,dollarsign.marketing,available,9.99,,medium,low,11,name.com,,
140f7abd-7bf4-4616-8098-46996fbe8922,appressed.marketing,available,,,medium,low,9,,,
c7f4357f-ecb7-4eeb-a1df-b097d7976214,neighbour.marketing,available,9.99,,high,low,9,name.com,,
6fb894af-2216-4f21-aabb-5edc389910eb,grandson.marketing,available,9.99,,high,low,8,name.com,,
edf73f4b-3f16-4ac7-a173-8ef9e636faa9,tracking.marketing,available,9.99,,medium,low,8,name.com,,
85268cbc-19a9-4663-8e94-b411a0208174,astomatous.marketing,available,,,low,low,10,,,
270082ca-ab57-4e46-ad26-3b74bc468018,beardless.marketing,available,,,medium,low,9,,,
b86645d3-f4cb-4685-83ac-119311a161dc,moneylaundering.marketing,available,9.99,,medium,low,16,name.com,,
0448a90b-4c83-4a8a-8b8b-64ec3e7fd39a,anesthesia.marketing,available,9.99,,high,low,10,name.com,,
99b26f6e-6402-4bd0-81c7-eea094028e5c,allset.marketing,available,9.99,,high,low,7,name.com,,
33382230-a32b-42dd-aea6-47ef276e1ea7,disguise.marketing,available,9.99,,high,low,8,name.com,,
673182bb-19ec-410b-8f43-5d067dfeb05c,anaplastic.marketing,available,,,medium,low,10,,,
3cf5c9fc-b362-468a-949b-d4d21e7d5eb0,deskchair.marketing,available,9.99,,high,low,10,name.com,,
143fe26a-84e8-4615-aa7b-2b3a137eea23,arctic.marketing,available,,,high,low,6,,,
1571014f-b040-41d9-93e0-fb6056390350,finished.marketing,available,9.99,,medium,low,8,name.com,,
8a3f76f6-ce17-4306-a8fd-060e7308d37a,writing.marketing,available,9.99,,high,low,7,name.com,,
0adc607b-0ad6-4cc6-a933-6013a7216e74,astigmatic.marketing,available,,,medium,low,10,,,
cb49afda-813c-44fd-8c61-62cfbaebcc07,feminine.marketing,available,9.99,,high,low,8,name.com,,
f07ef69f-fbe7-4586-b1f8-e51aa63546a0,afrikaans.marketing,available,,,high,low,9,,,
fbb46cd9-68e1-4a55-ba58-aefa9d5311d0,fasten.marketing,available,9.99,,high,low,6,name.com,,
383d68cb-2f94-4d7c-8494-b3ee7bddc5c6,aspirer.marketing,available,,,medium,low,7,,,
508039a7-5710-46f4-871a-37d47916c6f1,sell.marketing,premium,118.8,118.8,high,medium,4,namesilo,,
4265e3dc-a4a0-4476-9ab1-156f7883ac28,becauseof.marketing,available,9.99,,medium,low,10,name.com,,
7044499d-2769-4290-99cf-8a3a7b4f66f9,auspicious.marketing,available,9.99,,high,low,10,name.com,,
998da32a-4ce4-4a25-a89d-abc73e0734fb,damn.marketing,available,9.99,52.99,high,low,4,name.com,,
f55ff85f-73f3-4d0e-97ac-a4e5b35b6f0c,stunned.marketing,available,9.99,,medium,low,7,name.com,,
5ad1964d-28eb-4e66-ad21-273b2a40aeb1,soap.marketing,available,9.99,,high,low,4,name.com,,
f8234034-9f59-4a3f-90a8-cc267e7d3d8e,whocares.marketing,available,9.99,,low,low,9,name.com,,
a2bc0770-c51e-47c1-91b9-e05e770130e5,wordplay.marketing,available,9.99,,medium,low,9,name.com,,
4d2e9727-1709-4030-b6f2-e46c46f22204,Bets.marketing,available,9.99,,high,low,4,name.com,,
45cffa36-3b09-40f1-9ff5-500ea6c324ec,skateboarding.marketing,available,9.99,,low,low,13,name.com,,
31289620-7ae6-4d4e-9cf6-67e1d6586e1b,glistering.marketing,available,,,medium,low,10,,,
9acd587b-431d-4eb2-9199-2c35db104514,piano.marketing,available,9.99,,high,low,5,name.com,,
5c6f3e14-5dc8-431b-b642-01bf6047e1f5,adscript.marketing,available,,,high,low,8,,,
2545855f-5552-4472-af17-8259b4ff9642,summertire.marketing,available,9.99,,high,low,11,name.com,,
c0579988-d542-4d32-9e9d-5496597e687f,knotty.marketing,available,,,medium,low,6,,,
39a46cc8-f630-43a6-bd82-3d9e116b84ec,painkiller.marketing,available,,,medium,low,10,,,
88c06b78-8b37-4ab2-80c7-2dc35598a28e,victor.marketing,available,,,medium,low,6,,,
d60b31c5-a69e-46ad-bfd9-ef7762e4f050,sixfeetunder.marketing,available,9.99,,low,low,14,name.com,,
1769a2ac-1bff-48cd-bc18-38650cf4385d,threed.marketing,available,,,high,low,7,,,
d4d73a39-bf36-4df6-a269-3779fc2c6e56,footballhooliganism.marketing,available,9.99,,medium,low,20,name.com,,
4470980b-ff0d-4b85-ba40-cd9484ed2f9d,letterspatent.marketing,available,9.99,,medium,low,14,name.com,,
cccbc51a-9591-4789-84c3-6c37037676e8,illness.marketing,available,9.99,,medium,low,7,name.com,,
4278178a-c8f5-473c-a0d0-dc48405c8d36,bicycle.marketing,available,9.99,,high,low,7,name.com,,
8db905ab-81c4-4a17-87dc-0e2bd222605b,chocolate.marketing,available,9.99,,high,low,9,name.com,,
07cb9c39-b17f-4415-bfc7-fcb4a22ee29a,cautionary.marketing,available,,,medium,low,10,,,
b9b44249-aa14-4cd5-8c92-a9e47b8a1d03,derriere.marketing,available,,,medium,low,8,,,
78fec908-dc89-4990-a1c6-b0cfb36ca562,likenoother.marketing,available,9.99,,high,low,13,name.com,,
67ff5b63-e1b1-457e-b8f3-f4066b189e9b,tolerable.marketing,available,9.99,,medium,low,9,name.com,,
eee2bb0e-e951-4962-9389-3ed3ed5c60ca,memorise.marketing,available,9.99,,high,low,8,name.com,,
d9de36f5-1c2a-4bd6-bb13-463c65e17c22,warmachine.marketing,available,9.99,,medium,low,11,name.com,,
0a873979-2fc8-457f-970a-af6b753e81b9,oldgeezer.marketing,available,,,medium,low,10,,,
ed136eb0-9bbe-43ce-b261-2a7d20c29e1f,enterontheboards.marketing,available,9.99,,medium,low,19,name.com,,
9380d551-f9fc-4bfa-a668-3e6a032f12ac,surprisingly.marketing,available,9.99,,medium,low,12,name.com,,
6d520c98-68c2-4fb4-8156-d2e31d1dab26,aneroid.marketing,available,,,high,low,7,,,
3aef2e86-5378-4b87-ad1e-3a90cf41a3ca,ecological.marketing,available,9.99,,high,low,10,name.com,,
5c6bf2c3-3efb-4b7d-9175-9b0de9d2d3b9,bordered.marketing,available,9.99,,medium,low,8,name.com,,
0836b6d1-258b-48ec-987f-7955be34bc0c,upcoming.marketing,available,,,medium,low,8,,,
52003fb2-27ad-427f-b5fc-0661060032da,took.marketing,available,9.99,,low,low,4,name.com,,
ee6e0b27-9a05-4cf8-820d-83969374c1c8,allowable.marketing,available,,,high,low,9,,,
25c79e47-4a37-4e95-beab-b00d102930f7,rightatrium.marketing,available,9.99,,low,low,12,name.com,,
15c320d9-aeec-45f7-ab19-95301f5ed611,president.marketing,available,9.99,,high,low,9,name.com,,
e8098eb9-6087-44eb-adf5-5038d2cf65bb,redo.marketing,available,9.99,,high,low,4,name.com,,
904ba3e0-c352-4ebd-9222-ec9780deb4c3,Spotify.marketing,available,,,high,low,7,,,
8ec4b8c2-83e2-44ec-9160-ceec5664d9cb,yearround.marketing,available,9.99,,high,low,10,name.com,,
60031db6-c7a0-47cb-b159-85c62ff7ccc1,adnate.marketing,available,,,medium,low,6,,,
aa05c624-39d7-49d5-bed6-24d1a977aae8,burly.marketing,available,,,medium,low,5,,,
6aad4965-b151-46e7-abc4-6f6abf8e571c,adulterant.marketing,available,,,medium,low,10,,,
33bea877-8084-4854-a8b7-121cf3bac329,cue.marketing,available,9.99,,medium,low,3,name.com,,
40768941-e44c-4908-8ea6-a6f1f2322482,thread.marketing,available,9.99,,high,low,6,name.com,,
befe7489-99f6-4265-8cc5-d3f8aedbbf11,parallel.marketing,available,,,high,low,8,,,
4cccd2bb-51b3-49ae-9845-520b13c34461,gotothebathroom.marketing,available,9.99,,medium,low,18,name.com,,
9ae1281e-7f8c-4a60-9edf-06e794073fc6,meantime.marketing,available,9.99,,high,low,8,name.com,,
1680ae69-7ee5-4d96-b307-279f1d80a092,repel.marketing,available,9.99,,high,low,5,name.com,,
cde05314-56d6-4179-836c-81a070da8155,bellicose.marketing,available,,,medium,low,9,,,
4c917703-9084-4acd-bcd1-ddc05457afcd,cook.marketing,available,9.99,,high,low,4,name.com,,
123ad713-3d61-4581-91ff-e413cbd047d0,boxers.marketing,available,9.99,,high,low,6,name.com,,
665ef6a0-8b71-4cce-ba81-292fc597e1d1,dressed.marketing,available,9.99,,high,low,7,name.com,,
0d47aa96-ca6c-48d3-82cd-ad1041b2fea4,NYT.marketing,available,9.99,,high,low,3,name.com,,
09cfcedc-aec0-4a71-b6ad-9975e6746d79,muhfuckah.marketing,available,9.99,,medium,low,9,name.com,,
66eb0e7b-f54f-4766-8e31-498c92ac3596,lxxxiv.marketing,available,,,medium,low,6,,,
adc1914b-d3a6-4b51-b434-8cc6c9258831,arched.marketing,available,,,medium,low,6,,,
8a3e5573-33cf-47f8-9719-ed2dee7a14e2,SouthAmerican.marketing,available,9.99,,low,low,14,name.com,,
d0cd8978-a7bb-46a1-87b2-8a20181b2ccf,plentiful.marketing,available,9.99,,high,low,9,name.com,,
2029ac02-c645-41d1-b66a-6aab17ae33c0,sportsdrink.marketing,available,9.99,,high,low,12,name.com,,
2d013573-4ba3-4657-8afb-605262f9468f,acneiform.marketing,available,,,low,low,9,,,
b7356be6-1472-4751-9774-b3e578f2b02b,despotic.marketing,available,,,medium,low,8,,,
61b25420-cc96-4c42-a713-7289f8725c9e,sportsfan.marketing,available,9.99,,high,low,10,name.com,,
356a86fa-0af7-42a3-8884-0ef8a68c2e1c,resolved.marketing,available,9.99,,high,low,8,name.com,,
394d1964-c30f-4dc6-bbe7-d614de4da5b5,visualized.marketing,available,9.99,,high,low,10,name.com,,
fb670e1b-91eb-41dd-b221-f251d3e8e2d4,altaic.marketing,available,,,medium,low,6,,,
51b300ee-cf85-45dc-ace0-db82fa79e53a,thisandthat.marketing,available,9.99,,low,low,13,name.com,,
51fa025d-7192-4a40-946f-e143bc071f78,onehundred.marketing,available,9.99,,low,low,11,name.com,,
faab43d1-abaf-44ef-9733-1202ea0c1151,smileyface.marketing,available,9.99,,high,low,11,name.com,,
0eba75c9-a799-4150-8a3c-1bce4d5ce2a4,capitol.marketing,available,9.99,,medium,low,7,name.com,,
bc9b3c89-6143-4c85-a0bb-76b6557d6f15,amphoric.marketing,available,,,medium,low,8,,,
fe8370e9-330b-41ea-a8cb-eb1c310a6f86,singletree.marketing,available,9.99,,low,low,11,name.com,,
2f42d76e-9c6a-4772-a0e1-74625a9d08ca,softwarepackage.marketing,available,9.99,,high,low,16,name.com,,
469f085e-c79e-4513-8f18-ec13c0d85a6d,earlike.marketing,available,,,medium,low,8,,,
e931d3b5-97b9-41a8-b0d0-ad0aab3377fd,recovering.marketing,available,9.99,52.99,high,low,10,name.com,,
